first,1
new,2
york,3
citi,4
subway,5
built,6
oper,7
interborough,8
rapid,9
transit,10
compani,11
irt,12
open,13
octob,14
27,15
1904,16
joy,17
elev,18
train,19
streetcar,20
rider,21
hall,22
station,23
local,24
track,25
lavish,26
fine,27
architectur,28
detail,29
includ,30
glass,31
tile,32
larg,33
chandeli,34
howev,35
gustavino,36
vault,37
ceil,38
skylight,39
lost,40
busi,41
commut,42
stop,43
one,44
least,45
use,46
system,47
turnstil,48
instal,49
1923,50
nearbi,51
brooklyn,52
bridg,53
frequent,54
express,55
closer,56
connect,57
curv,58
platform,59
car,60
center,61
door,62
could,63
unless,64
special,65
modifi,66
control,67
allow,68
end,69
1945,70
close,71
along,72
line,73
lengthen,74
accommod,75
longer,76
number,77
passeng,78
dwindl,79
anoth,80
factor,81
lead,82
declin,83
fact,84
person,85
board,86
intend,87
destin,88
would,89
wind,90
uptown,91
go,92
upstair,93
downtown,94
continu,95
journey,96
much,97
easier,98
walk,99
short,100
distanc,101
street,102
level,103
late,104
1990,105
lexington,106
avenu,107
today,108
6,109
disembark,110
case,111
reopen,112
light,113
turn,114
back,115
get,116
experi,117
might,118
stay,119
loop,120
around,121
head,122
north,123
museum,124
host,125
period,126
tour,127
abandon,128
must,129
member,130
attend,131
check,132
websit,133
1886,134
eccentr,135
woman,136
name,137
sarah,138
winchest,139
travel,140
connecticut,141
san,142
jose,143
california,144
start,145
life,146
purchas,147
small,148
eight,149
room,150
farmhous,151
renov,152
project,153
take,154
36,155
year,156
5,157
million,158
money,159
time,160
pass,161
away,162
1922,163
done,164
mansion,165
modern,166
marvel,167
indoor,168
plumb,169
multipl,170
hot,171
shower,172
central,173
heat,174
160,175
40,176
bedroom,177
10,178
000,179
window,180
even,181
2,182
basement,183
cours,184
uniqu,185
hous,186
8,187
foot,188
drop,189
kitchen,190
sink,191
15,192
bush,193
garden,194
staircas,195
straight,196
expens,197
tiffani,198
stain,199
place,200
secret,201
passag,202
narnia,203
particularli,204
odd,205
delight,206
cabinet,207
extend,208
30,209
quit,210
sure,211
mr,212
demand,213
constant,214
chang,215
stori,216
preval,217
haunt,218
spirit,219
kill,220
rifl,221
husband,222
invent,223
psychic,224
told,225
evad,226
move,227
west,228
buy,229
home,230
build,231
nonstop,232
theori,233
say,234
believ,235
soon,236
construct,237
complet,238
die,239
suggest,240
like,241
maze,242
order,243
keep,244
paranorm,245
tormentor,246
bay,247
mani,248
intricaci,249
goe,250
avoid,251
sleep,252
differ,253
everi,254
night,255
labyrinthin,256
path,257
massiv,258
earthquak,259
struck,260
area,261
1906,262
toppl,263
top,264
three,265
damag,266
four,267
took,268
sign,269
unfinish,270
front,271
half,272
though,273
still,274
clearli,275
visibl,276
respons,277
ongo,278
claim,279
ghostli,280
encount,281
phenomena,282
properti,283
earli,284
manag,285
parapsychologist,286
investig,287
christoph,288
chacon,289
conduct,290
full,291
scale,292
scientif,293
assess,294
month,295
long,296
round,297
clock,298
interview,299
300,300
peopl,301
regard,302
analyz,303
aspect,304
environ,305
unusu,306
2018,307
horror,308
film,309
made,310
infam,311
live,312
within,313
know,314
gonzo,315
gelfl,316
statler,317
waldorf,318
simpli,319
want,320
meet,321
miss,322
piggi,323
happi,324
locat,325
midtown,326
atlanta,327
puppetri,328
art,329
jim,330
henson,331
collect,332
contain,333
largest,334
present,335
artifact,336
world,337
man,338
behind,339
muppet,340
sesam,341
labyrinth,342
dark,343
crystal,344
interact,345
histori,346
icon,347
creation,348
kermit,349
frog,350
also,351
global,352
celebr,353
cultur,354
divers,355
exhibit,356
everyth,357
histor,358
puppet,359
form,360
vietnames,361
water,362
broadway,363
theatr,364
hello,365
lion,366
king,367
day,368
hollywood,369
motion,370
watch,371
movi,372
learn,373
make,374
season,375
theme,376
ball,377
wonder,378
childhood,379
nostalgia,380
perfect,381
famili,382
cold,383
novemb,384
1974,385
amityvil,386
resid,387
ronald,388
defeo,389
Jr,390
murder,391
entir,392
blood,393
112,394
ocean,395
total,396
six,397
victim,398
begin,399
although,400
brutal,401
sensat,402
right,403
lutz,404
way,405
infami,406
dutch,407
coloni,408
less,409
driven,410
relentless,411
event,412
among,413
swarm,414
fli,415
wall,416
ooz,417
slime,418
spectral,419
voic,420
sight,421
demon,422
pig,423
creatur,424
account,425
popular,426
book,427
entitl,428
subsequ,429
spawn,430
franchis,431
produc,432
tale,433
nearli,434
later,435
refut,436
true,437
blame,438
veng,439
nativ,440
american,441
burial,442
ground,443
beneath,444
site,445
distinct,446
gambrel,447
upper,448
frame,449
brick,450
chimney,451
someth,452
face,453
becom,454
may,455
ideal,456
privat,457
own,458
signal,459
disappear,460
memori,461
tragic,462
past,463
linger,464
forev,465
juli,466
1,467
1876,468
seven,469
inmat,470
enter,471
territori,472
prison,473
yuma,474
lock,475
cell,476
3,477
069,478
29,479
women,480
thirti,481
sentenc,482
16,483
old,484
maria,485
moreno,486
shot,487
brother,488
complain,489
danc,490
pearl,491
hart,492
partner,493
joe,494
boot,495
commit,496
last,497
stagecoach,498
robberi,499
arizona,500
rob,501
globe,502
stage,503
caught,504
quickli,505
escap,506
tri,507
twice,508
given,509
five,510
known,511
strict,512
rule,513
weapon,514
gambl,515
fight,516
prohibit,517
litter,518
fail,519
bath,520
broke,521
forc,522
wear,523
chain,524
seriou,525
offend,526
sent,527
basic,528
excav,529
hillsid,530
measur,531
cage,532
photograph,533
color,534
endur,535
visitor,536
view,537
tempelhof,538
berlin,539
oldest,540
civilian,541
airport,542
air,543
infanc,544
found,545
work,546
futur,547
german,548
ministri,549
transport,550
novelti,551
idea,552
akin,553
railway,554
termin,555
often,556
chosen,557
edg,558
wider,559
extens,560
main,561
south,562
axi,563
frederickstrass,564
origin,565
1924,566
replac,567
nazi,568
era,569
current,570
design,571
prof,572
ernst,573
sagebiel,574
floor,575
plan,576
resembl,577
eagl,578
spread,579
wing,580
iconographi,581
shape,582
interrupt,583
wwii,584
squar,585
footag,586
parliament,587
palac,588
former,589
communist,590
dictat,591
ceaucesc,592
bucharest,593
romania,594
sever,595
newer,596
intern,597
pentagon,598
US,599
tunnel,600
bunker,601
lower,602
two,603
burn,604
flood,605
russian,606
troop,607
featur,608
counterpart,609
giant,610
canopi,611
roof,612
high,613
enough,614
aircraft,615
decad,616
taxi,617
plane,618
protect,619
element,620
mile,621
hangar,622
laid,623
bleacher,624
style,625
tier,626
stadium,627
spectat,628
demonstr,629
surround,630
urban,631
develop,632
awkward,633
placement,634
prove,635
lucki,636
inhabit,637
serv,638
point,639
organ,640
airlift,641
soviet,642
blockad,643
1948,644
remain,645
throughout,646
war,647
northern,648
base,649
1993,650
sprung,651
basketbal,652
court,653
bowl,654
alley,655
sinc,656
dismantl,657
april,658
2008,659
referendum,660
aim,661
attempt,662
save,663
ultim,664
pollut,665
hazard,666
associ,667
major,668
proxim,669
residenti,670
motiv,671
shutdown,672
commerci,673
flight,674
happen,675
2010,676
templehof,677
huge,678
park,679
public,680
space,681
well,682
bird,683
anim,684
sanctuari,685
visit,686
roller,687
disco,688
run,689
hectic,690
guid,691
offer,692
per,693
week,694
iha,695
list,696
statu,697
provid,698
fascin,699
insight,700
18th,701
amend,702
U,703
constitut,704
outlaw,705
alcohol,706
deleteri,707
delect,708
1920,709
culmin,710
centuri,711
campaign,712
nation,713
temper,714
movement,715
savannah,716
georgia,717
follow,718
complex,719
consequ,720
21st,721
1933,722
impress,723
entertain,724
without,725
corni,726
educ,727
preachi,728
pedant,729
greet,730
entranc,731
model,732
beer,733
truck,734
myriad,735
slogan,736
headlin,737
saloon,738
set,739
debat,740
reach,741
second,742
climb,743
stairwel,744
plaster,745
quotat,746
drink,747
listen,748
evangel,749
preacher,750
proclaim,751
evil,752
liquor,753
appropri,754
mannequin,755
famou,756
fierc,757
advoc,758
carri,759
wield,760
hatchet,761
bar,762
notori,763
destroy,764
meanwhil,765
come,766
aliv,767
perform,768
docent,769
dress,770
barkeep,771
flapper,772
answer,773
question,774
share,775
sauci,776
cover,777
variou,778
illeg,779
workaround,780
moonshin,781
hideaway,782
lit,783
bootlegg,784
tableau,785
replet,786
confisc,787
mobster,788
gangster,789
racket,790
speakeasi,791
password,792
insid,793
guest,794
cocktail,795
music,796
golden,797
age,798
jazz,799
remark,800
comprehens,801
usual,802
suspect,803
percept,804
adept,805
interweav,806
chronicl,807
reveal,808
